"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
18005805;"UMA PITADA DE SORTE";"UMA PITADA DE SORTE";2018;"PEDRO ANTONIO CAMARGOS PAES DE OLIVEIRA";"2019-04-15"
19001642;"THE SUN IS ALSO A STAR";"O SOL TAMBÉM É UMA ESTRELA";2018;"RY RUSSO-YOUNG";"2019-04-15"
18004072;"KAIRO";"KAIRO";2018;"FABIO RODRIGO APARECIDO DOS SANTOS";"2019-04-12"
19001576;"KARDEC";"KARDEC";2019;"WAGNER LUIZ DE ASSIS COELHO";"2019-04-11"
19001648;"O FILHO DO HOMEM";"O FILHO DO HOMEM";2019;"ALEXANDRE MACHADO FERREIRA";"2019-04-11"
17003079;"A SOMBRA DO PAI";"A SOMBRA DO PAI";2017;"GABRIELA AMARAL ALMEIDA";"2019-04-10"
19000978;"RBG";"A JUÍZA";2018;"BETSY WEST";"2019-04-10"
19001641;"A QUARTA PAREDE";"A QUARTA PAREDE";2019;"HUDSON SENNA";"2019-04-10"
18002140;"HISTÓRIAS ESTRANHAS";"HISTÓRIAS ESTRANHAS";2017;"ANDRE KAPEL FURMAN";"2019-04-09"
19000469;"TRANSIT";"EM TRÂNSITO";2018;"CHRISTIAN PETZOLD";"2019-04-08"
19001314;"X-MEN: DARK PHOENIX";"X-MEN: FÊNIX NEGRA";2019;"SIMON KINBERG";"2019-04-03"
19000999;"THE ASPERN PAPERS";"OS PAPÉIS DE ASPERN";2018;"JULIEN LANDAIS";"2019-04-02"
19001230;"CELLE QUE VOUS CROYEZ";"QUEM VOCÊ PENSA QUE SOU";2019;"SAFY NEBBOU";"2019-04-02"
19001263;"JOHN WICK 3: PARABELLUM";"JOHN WICK 3: PARABELLUM";2019;"CHAD STAHELSKI";"2019-04-02"
19001268;"LONG SHOT";"CASAL IMPROVÁVEL";2019;"JONATHAN LEVINE";"2019-04-02"
19001272;"MIA AND THE WHITE LION";"A MENINA E O LEÃO";2018;"GILLES DE MAISTRE";"2019-04-02"
